0,16
1,6
2,4
3,12
4,11
5,-2
6,10
7,-11
8,12
9,-18
10,15
11,5
12,-19
13,-7
14,12
15,-3
16,-11
17,2
18,19
19,-15
20,2
21,-4
22,-11
23,1
24,9
25,-3
26,12
27,1
28,1
29,-17
30,5
31,-5
32,18
33,-4
34,6
35,-18
36,18
37,-8
38,19
39,12
40,15
41,-20
42,19
43,-20
44,-11
45,6
46,1
47,-9
48,9
49,8
50,5
51,1
52,1
53,-5
54,0
55,6
56,-8
57,15
58,-15
59,18
60,-14
61,19
62,15
63,12
64,3
65,6
66,11
67,15
68,-2
69,3
70,6
71,-12
72,-15
73,14
74,17
75,3
76,-13
77,10
78,13
79,-10
80,14
81,-11
82,-17
83,19
84,-9
85,-20
86,13
